Word,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63,Dimension_64,Dimension_65,Dimension_66,Dimension_67,Dimension_68,Dimension_69,Dimension_70,Dimension_71,Dimension_72,Dimension_73,Dimension_74,Dimension_75,Dimension_76,Dimension_77,Dimension_78,Dimension_79,Dimension_80,Dimension_81,Dimension_82,Dimension_83,Dimension_84,Dimension_85,Dimension_86,Dimension_87,Dimension_88,Dimension_89,Dimension_90,Dimension_91,Dimension_92,Dimension_93,Dimension_94,Dimension_95,Dimension_96,Dimension_97,Dimension_98,Dimension_99,Dimension_100
e,0.034208916,0.16183996,0.078549,0.19874996,-0.0010067375,-0.12523735,0.21642412,0.3029237,-0.22731738,-0.22173059,0.08027508,-0.21628231,0.059068684,0.14857803,0.022560734,-0.058522865,0.2897767,0.06429716,-0.15624547,-0.40399683,0.039603904,0.016267462,0.2241604,-0.04411607,-0.038495935,0.0165804,-0.22653784,0.13678208,-0.065219305,0.07451997,0.19113961,-0.14983352,0.0498577,-0.23870495,-0.12531435,0.065738425,0.14525974,0.029476173,-0.064848706,-0.10515828,0.041217986,-0.078657016,-0.1838587,0.09947858,0.009822864,-0.05659053,-0.16921592,-0.09184113,0.08027758,0.13185038,0.008916559,-0.2046674,-0.09213656,-0.062317964,-0.058948528,-0.0129173,0.09505103,-0.10356485,-0.026426466,0.07281178,-0.10371934,-0.13865855,0.25502548,0.0049375813,-0.19118762,0.3138807,-0.005776266,0.14814226,-0.22468121,0.052446794,0.05023163,0.24035755,0.16245195,0.04667942,0.09861649,0.039545607,0.08797344,0.13198793,-0.08916366,-0.14226964,-0.25440082,-0.03450103,0.08119143,0.13475253,-0.04436087,-0.14966094,0.17286114,-0.10130966,0.0829944,0.049969085,0.14876089,0.043371443,0.03144321,-0.029613227,0.28333172,-0.0070036887,0.091854155,-0.08456678,0.062081832,0.12003883
 ,0.018584816,0.1952478,0.08243452,0.22980651,0.026553988,-0.12863034,0.21932873,0.32614213,-0.24511695,-0.23247828,0.07420319,-0.23753396,0.06554906,0.17853062,0.040735308,-0.05497128,0.31621078,0.09116184,-0.15706734,-0.39448053,0.028075924,-0.011457685,0.23468395,-0.06446409,-0.028573766,0.021840772,-0.24566284,0.15357122,-0.06630036,0.09359245,0.24454999,-0.16360235,0.034524858,-0.24356817,-0.11996514,0.067367956,0.15011069,0.04974684,-0.045276377,-0.08366333,0.06365037,-0.09583693,-0.19420624,0.10686722,-0.00071557757,-0.04562955,-0.14803793,-0.116302274,0.07233217,0.118425325,0.039780147,-0.2341739,-0.100257926,-0.06246549,-0.07799685,0.0008634697,0.10350257,-0.08497605,-0.023005627,0.0682681,-0.12005821,-0.1349886,0.26140505,0.0026869075,-0.19754525,0.33123758,0.027631186,0.12979102,-0.2138525,0.0716111,0.03176008,0.2161979,0.16572791,0.07139706,0.10108232,0.029987779,0.058411468,0.14294674,-0.082838826,-0.14319941,-0.27874374,-0.035389077,0.08616544,0.12693398,-0.041039087,-0.1634542,0.17180923,-0.12307721,0.083868206,0.035204284,0.13527024,0.032789543,0.037928596,-0.058159325,0.27098015,-0.014379842,0.13512155,-0.075204305,0.046869997,0.13132003
a,0.03170502,0.1677494,0.06994007,0.19898212,0.01304017,-0.112400495,0.20172794,0.29753253,-0.23723643,-0.21753488,0.064946614,-0.22013399,0.07308603,0.14848943,0.03548577,-0.06536397,0.3029126,0.07513765,-0.15684065,-0.41155693,0.022550752,0.0032949669,0.21769072,-0.05462781,-0.035364874,0.014709477,-0.22836788,0.14772491,-0.066763066,0.08597202,0.21683797,-0.15598837,0.031979363,-0.24139532,-0.13495012,0.06408526,0.1427876,0.039787006,-0.06340596,-0.100499906,0.050257187,-0.08537519,-0.18346636,0.10915168,0.011044686,-0.060113944,-0.15976605,-0.10522461,0.073750414,0.12522113,0.02616568,-0.21759644,-0.09489056,-0.06851753,-0.081491426,-0.014601298,0.08877177,-0.10099448,-0.027392637,0.061589718,-0.100539625,-0.14371403,0.27988124,0.017027138,-0.2050406,0.33119905,0.009436453,0.15013584,-0.23604271,0.05922141,0.049341194,0.24201839,0.16978535,0.055415913,0.09497159,0.047653962,0.087337874,0.14251535,-0.09078197,-0.13751802,-0.26264814,-0.04623238,0.0693881,0.13756835,-0.039432466,-0.16550094,0.16724636,-0.10273152,0.09819591,0.04946591,0.1451639,0.04595548,0.036997307,-0.039200924,0.29492405,-0.011366362,0.11254375,-0.07749674,0.07419637,0.11004712
t,0.025437715,0.1834786,0.078765124,0.19257465,0.01768313,-0.12606476,0.2131782,0.31092966,-0.1973066,-0.21504505,0.07808432,-0.19207154,0.070481226,0.12894809,0.043150514,-0.054734275,0.2853213,0.057282805,-0.1424515,-0.361736,0.03154547,0.0004223472,0.21147692,-0.027989903,-0.05731983,0.029088778,-0.2284166,0.13744913,-0.047887288,0.07870234,0.21210489,-0.14969161,0.028275382,-0.23513313,-0.112752356,0.076898836,0.15023732,0.027755132,-0.0777821,-0.08826838,0.05835154,-0.08013669,-0.16126549,0.09991353,0.012495637,-0.062657185,-0.15174313,-0.11310543,0.06533167,0.11512014,0.03637891,-0.21110563,-0.107992366,-0.075031795,-0.076005936,-0.008756354,0.090242125,-0.080278024,-0.010539602,0.053049445,-0.11022281,-0.13072366,0.27418402,0.01888175,-0.18839955,0.30865377,0.00243028,0.14461638,-0.22494683,0.042524036,0.046752278,0.22341588,0.1560405,0.074450575,0.09679625,0.032931644,0.06817104,0.14883234,-0.09505995,-0.12267547,-0.26597828,-0.025267582,0.08695489,0.1362421,-0.042228006,-0.15268947,0.1855544,-0.09070045,0.07885603,0.0323864,0.13703673,0.033493336,0.030940544,-0.037728872,0.29647,-0.021455599,0.12455339,-0.08405965,0.057134695,0.11356885
r,0.025424562,0.17888959,0.07106297,0.19933006,0.015413953,-0.11153475,0.20409842,0.29875204,-0.22921923,-0.21246278,0.066412166,-0.21242493,0.06283042,0.15011609,0.028649637,-0.06250047,0.2950226,0.07120255,-0.13551092,-0.40257004,0.029774167,-0.006481548,0.22530206,-0.036234815,-0.05186092,0.02356789,-0.23463598,0.1447601,-0.062114853,0.07861469,0.22513752,-0.14719613,0.0361152,-0.24066089,-0.11319451,0.059364058,0.13970467,0.041904025,-0.07084176,-0.09327627,0.061616182,-0.09432099,-0.18616268,0.1136326,0.012357568,-0.07180909,-0.15531352,-0.11317643,0.073273234,0.11266111,0.0377884,-0.21032453,-0.08262677,-0.06633458,-0.07792728,-0.019574113,0.08073013,-0.10222849,-0.020099975,0.048884004,-0.107272446,-0.1482624,0.27365983,0.01949449,-0.20318729,0.31807107,0.014665636,0.14492872,-0.22604483,0.065504156,0.03180545,0.23678699,0.15391637,0.06487836,0.10286916,0.04540761,0.07218888,0.14918163,-0.07889406,-0.1343849,-0.26863334,-0.04397574,0.082247116,0.13068214,-0.049888328,-0.16165704,0.17610762,-0.09443886,0.074306265,0.043083567,0.14529844,0.031141141,0.034521747,-0.043968532,0.27887833,-0.027385484,0.12515512,-0.06476203,0.061786678,0.120032765
i,0.024710154,0.17486458,0.079270914,0.19982047,-0.0032256052,-0.12543508,0.21541338,0.3092144,-0.23851342,-0.23460604,0.068431355,-0.21988009,0.059611224,0.13933964,0.026578644,-0.066562586,0.29565486,0.0610291,-0.15382093,-0.41196024,0.020945534,0.0060456996,0.23271084,-0.03625099,-0.04979609,0.018184274,-0.23724125,0.1337238,-0.05834798,0.089035675,0.22161677,-0.15767027,0.035886,-0.24685523,-0.12340853,0.07677671,0.14916025,0.0398775,-0.060992423,-0.10429827,0.06426291,-0.09501143,-0.18818538,0.09992454,0.00582602,-0.06964392,-0.16321927,-0.097002596,0.076074824,0.12385813,0.028764062,-0.2239778,-0.08663882,-0.05343295,-0.08249162,-0.008373712,0.09784231,-0.10623415,-0.028875586,0.055623017,-0.097476825,-0.13817568,0.28429082,0.00910156,-0.19304845,0.32135054,0.0018213943,0.14536177,-0.23348656,0.041094456,0.04803187,0.2399083,0.1681134,0.061058905,0.09633062,0.045873053,0.06577834,0.14026077,-0.08555392,-0.12875833,-0.25162148,-0.043563116,0.08357838,0.12757282,-0.043019813,-0.16527808,0.16731775,-0.084118344,0.085688524,0.050550155,0.15560439,0.04826068,0.021501241,-0.03540093,0.2981011,-0.013712892,0.10641029,-0.08845706,0.067312025,0.11007833
n,0.03771488,0.16324343,0.07117971,0.19444826,0.013490336,-0.1133474,0.20566842,0.28852093,-0.22362317,-0.21772411,0.08181223,-0.21041264,0.0725202,0.15793507,0.032374192,-0.05687118,0.3056421,0.073929936,-0.14726609,-0.40785846,0.031045964,0.002249317,0.22959389,-0.042737223,-0.04134871,0.02629258,-0.23676164,0.12870277,-0.053594522,0.072273254,0.22301699,-0.14150536,0.038752403,-0.2238487,-0.12551399,0.07074583,0.13217497,0.030259173,-0.07112208,-0.10871255,0.06103427,-0.09089695,-0.16458568,0.09850334,0.009246458,-0.050615873,-0.16426377,-0.11761977,0.06305545,0.114912435,0.030118428,-0.21847682,-0.106545836,-0.06031101,-0.079645395,-0.021896414,0.08612869,-0.10245594,-0.026310388,0.04479356,-0.10961939,-0.1368568,0.27458742,0.017347548,-0.19990271,0.3176437,-0.0052333907,0.13056706,-0.22535264,0.04752835,0.038172565,0.23508841,0.15157525,0.06842872,0.10374467,0.028839028,0.076542646,0.14129183,-0.08766302,-0.11667296,-0.24383506,-0.044961378,0.07173009,0.12969248,-0.041334093,-0.15300071,0.17427349,-0.10441024,0.07339709,0.043383505,0.13324142,0.039881475,0.02996108,-0.031820484,0.27728394,-0.01625357,0.12203359,-0.077619925,0.056480408,0.119135894
o,0.044161625,0.16651317,0.089875974,0.2133772,0.0018349041,-0.12739992,0.21945663,0.30396825,-0.238484,-0.23719396,0.074477516,-0.21997315,0.0718786,0.14321221,0.032124117,-0.055191066,0.30245143,0.06382785,-0.15792596,-0.41964084,0.034740213,0.016989218,0.22852302,-0.05351761,-0.051284105,0.028641032,-0.24372493,0.14787818,-0.064726695,0.0886845,0.20309013,-0.14669351,0.039999697,-0.2505649,-0.12712364,0.067663655,0.14135025,0.034715552,-0.07626497,-0.10264399,0.060817968,-0.09007011,-0.18176389,0.10622678,0.016888171,-0.072895266,-0.17398575,-0.103104375,0.08753128,0.12903087,0.013394055,-0.21562918,-0.083930686,-0.07080304,-0.075264566,-0.00037438772,0.080216594,-0.09578881,-0.021720016,0.07214199,-0.09763272,-0.14109637,0.2712908,0.02756958,-0.1970289,0.33122495,-0.012162201,0.16068724,-0.23175168,0.044127263,0.052048866,0.23877746,0.17131847,0.05503972,0.094336055,0.041817185,0.08797589,0.13293163,-0.08757786,-0.14378542,-0.26751322,-0.036764994,0.07157716,0.13980435,-0.038953207,-0.15808028,0.18027514,-0.08247986,0.097979896,0.045978125,0.15494189,0.037151895,0.021363005,-0.022761099,0.29131576,-0.0146700395,0.102940686,-0.08966509,0.06959826,0.111124106
s,0.02626575,0.1740391,0.07691609,0.19795726,0.018829068,-0.11203786,0.20853704,0.28094652,-0.21866192,-0.20732571,0.07506738,-0.20897341,0.07976484,0.13665584,0.04577989,-0.05372979,0.27636886,0.06320072,-0.14333636,-0.38153103,0.032652415,0.0112638725,0.21855786,-0.048554964,-0.040282805,0.026013577,-0.23214966,0.12078844,-0.04734027,0.06570634,0.21418753,-0.14960662,0.041969832,-0.21471475,-0.11545586,0.070970535,0.13376814,0.04350715,-0.06145853,-0.108760394,0.05115486,-0.08210352,-0.16514622,0.10318896,0.0036882814,-0.06299584,-0.15608084,-0.1035726,0.06367034,0.11085606,0.027825693,-0.20622195,-0.09585842,-0.06735565,-0.06394463,-0.011532625,0.087947026,-0.09070187,-0.010758464,0.048100326,-0.11437517,-0.13615462,0.27156618,0.017806353,-0.20089452,0.30925295,-0.0030294303,0.14184035,-0.22408265,0.052822556,0.03153556,0.22361508,0.15917397,0.07037706,0.090558425,0.032027,0.06596937,0.12931998,-0.09592944,-0.12383396,-0.2503021,-0.04112372,0.08498292,0.12892736,-0.03145584,-0.1424373,0.16817111,-0.10127224,0.07721607,0.04512513,0.13528699,0.037126943,0.03302431,-0.030468877,0.27993166,-0.008749158,0.11386035,-0.06597393,0.06405982,0.10607016
l,0.024344886,0.17011663,0.06900547,0.21203743,0.008665371,-0.12863795,0.2009102,0.30532002,-0.23213404,-0.2282979,0.076931536,-0.21992518,0.06827796,0.15044643,0.03289859,-0.04821374,0.30155036,0.057293802,-0.14064446,-0.4083908,0.027132733,0.005381296,0.21676195,-0.047039926,-0.036263563,0.01734485,-0.25115013,0.15133773,-0.05755225,0.07397363,0.23606133,-0.14894609,0.04399953,-0.22732808,-0.13181539,0.07545353,0.14926726,0.04249582,-0.06532026,-0.09562838,0.061823618,-0.08317924,-0.18308981,0.10072135,0.005036485,-0.061985012,-0.16123122,-0.104388304,0.07470013,0.13145122,0.038231313,-0.21138567,-0.09948662,-0.053177074,-0.07292084,-0.02148675,0.08864982,-0.09845716,-0.013817315,0.056803916,-0.11589485,-0.1315279,0.29031777,0.014717989,-0.21076259,0.3227827,-0.00020832609,0.13096152,-0.22838138,0.052553132,0.041401144,0.2436535,0.15887947,0.055574927,0.10293031,0.032653075,0.073096424,0.13973744,-0.08016447,-0.12947851,-0.26011276,-0.040815275,0.079942346,0.14343958,-0.039608024,-0.16423142,0.16454856,-0.10163763,0.093972705,0.05436741,0.13393939,0.047122084,0.03458331,-0.02893743,0.30214685,-0.029090114,0.10892554,-0.070301935,0.07254271,0.12166686
